class1991,class2000,class2011,male1,smoking1991,smoking2000,smoking2011,drink1991,drink2000,drink2011,prest00,prest91,prest11,smokdif,drinkdif
11,9,1,1,0,0,0,0,0,0,62,32,25,0,0
7,9,4,1,0,0,0,0,0,0,62,55,60,0,0
11,9,4,1.12,,,0,1,1,4,62,32,60,,3
4,9,7,1.12,,20,20,1,1,0,62,60,55,,-1
8,9,8,1.12,20,20,20,2,2,3,62,75,75,0,1
1,11,1,1,.52941179,1.8333334,2.8421052,0,.15789473,.2631579,32,25,25,2.3126934,.2631579
1,11,1,1.12,7,7,10,0,0,0,32,25,25,3,0
4,11,1,1,0,0,0,0,0,.14285715,32,60,25,0,.14285715
4,11,1,1.12,8,8.666667,4.5,2.125,2.875,3,32,60,25,-3.5,.875
7,11,1,1,0,6.6666665,0,0,1,.33333334,32,55,25,0,.33333334
7,11,1,1.12,13.333333,.5,3.3333333,4.3333335,3.3333333,1.6666666,32,55,25,-10,-2.666667
8,11,1,1,0,0,0,0,0,0,32,75,25,0,0
8,11,1,1.12,9.333333,10,0,3.3333333,3,1.6666666,32,75,25,-9.333333,-1.6666666
11,11,1,1,.3054755,.48816568,.43442622,.33606556,.30874318,.21038251,32,32,25,.12895072,-.12568305
11,11,1,1.12,12.397261,11.870503,8.2699385,2.0674846,2.2085888,1.7116565,32,32,25,-4.1273222,-.35582817
13,11,1,1.12,0,0,15,0,3,2,32,49,25,15,2
1,11,4,1,0,0,0,0,0,0,32,25,60,0,0
1,11,4,1.12,,,0,1,1,1,32,25,60,,0
4,11,4,1,0,0,0,0,0,0,32,60,60,0,0
4,11,4,1.12,18.5,18,16.200001,3,3.3,2.8,32,60,60,-2.2999992,-.20000005
7,11,4,1.12,1,20,30,4,5,0,32,55,60,29,-4
8,11,4,1.12,1,0,10,4,3,4,32,75,60,9,0
11,11,4,1,0,0,.02,.2,.18000001,.36000001,32,32,60,.02,.16000001
11,11,4,1.12,9.4805193,11.808219,13.444445,2.1555555,2.1888888,2.5999999,32,32,60,3.9639254,.44444442
1,11,7,1,0,0,0,0,.5,1.5,32,25,55,0,1.5
1,11,7,1.12,10,20,20,5,4,3,32,25,55,10,-2
4,11,7,1,0,0,0,0,0,0,32,60,55,0,0
4,11,7,1.12,18.333334,13.2,14.4,1.6,1.8,2,32,60,55,-3.9333344,.39999998
7,11,7,1,,,0,0,0,0,32,55,55,,0
7,11,7,1.12,13.75,16.428572,4.125,2.875,2.25,4,32,55,55,-9.625,1.125
11,11,7,1,0,0,.27777779,.22222222,.25,.27777779,32,32,55,.27777779,.055555567
11,11,7,1.12,11.984375,12,14.416667,1.5,1.75,2.4722223,32,32,55,2.432292,.97222233
4,11,8,1.12,10,15,11.666667,0,1.3333334,0,32,60,75,1.666667,0
7,11,8,1,,,0,0,0,0,32,55,75,,0
11,11,8,1,0,0,0,0,0,0,32,32,75,0,0
11,11,8,1.12,7.5,13.25,20,1.4,2.4000001,3.8,32,32,75,12.5,2.4000001
1,11,11,1,.625,1.3333334,.88235295,.17647059,.17647059,0,32,25,32,.25735295,-.17647059
1,11,11,1.12,5,1.5,2.5,4.5,4,4,32,25,32,-2.5,-.5
4,11,11,1,0,0,0,0,.45454547,.72727275,32,60,32,0,.72727275
4,11,11,1.12,12.625,14.1,11.833333,1.1666666,1.5,1.6666666,32,60,32,-.79166698,.5
7,11,11,1,3.3333333,3.3333333,2.3333333,1.6666666,1.3333334,1.6666666,32,55,32,-1,0
7,11,11,1.12,11.625,8.818182,14.666667,2.5833333,2.8333333,2.5,32,55,32,3.041667,-.083333254
8,11,11,1,0,0,0,0,0,.5,32,75,32,0,.5
8,11,11,1.12,12.5,6.75,7.9000001,1.3,2,1.7,32,75,32,-4.5999999,.4000001
11,11,11,1,.10191083,.17748918,.22535211,.25553319,.27967808,.23541248,32,32,32,.12344128,-.02012071
11,11,11,1.12,10.557292,11.553073,11.295612,1.8406466,1.9491917,2.3418014,32,32,32,.73832035,.50115478
13,11,11,1.12,0,1,5,5,5,5,32,49,32,5,0
1,11,13,1,0,0,0,0,0,0,32,25,49,0,0
4,11,13,1,0,0,0,0,0,0,32,60,49,0,0
4,11,13,1.12,6.3333335,13.666667,6.6666665,1.6666666,3.3333333,2.3333333,32,60,49,.33333302,.66666663
8,11,13,1.12,30,0,13,1.75,2,1,32,75,49,-17,-.75
11,11,13,1,0,.33333334,.5,.1,.40000001,0,32,32,49,.5,-.1
11,11,13,1.12,15.846154,10.428572,10,2.2142856,2.4285715,1.8571428,32,32,49,-5.8461542,-.35714281
13,11,13,1.12,0,0,0,2,5,0,32,49,49,0,-2
11,12,11,1,0,0,0,0,0,0,49,32,32,0,0
1,13,1,1,0,0,0,1.6666666,0,0,49,25,25,0,-1.6666666
4,13,1,1,0,0,0,0,.40000001,.60000002,49,60,25,0,.60000002
4,13,1,1.12,10,11.75,5.5,2.75,2,2.25,49,60,25,-4.5,-.5
7,13,1,1,0,0,0,0,0,0,49,55,25,0,0
8,13,1,1,0,0,0,0,0,0,49,75,25,0,0
8,13,1,1.12,30,25,25,0,0,1,49,75,25,-5,1
11,13,1,1,0,0,0,0,0,0,49,32,25,0,0
11,13,1,1.12,6.6666665,0,1,.66666669,0,0,49,32,25,-5.6666665,-.66666669
13,13,1,1,10,0,0,0,0,0,49,49,25,-10,0
13,13,1,1.12,15.333333,10.333333,11.75,2.5,1,1.25,49,49,25,-3.583333,-1.25
13,13,4,1.12,,10,10,0,3,2,49,49,60,,2
7,13,7,1.12,,20,0,1,3,0,49,55,55,,-1
4,13,11,1.12,,20,20,0,0,0,49,60,32,,0
11,13,11,1.12,1,0,0,4,0,0,49,32,32,-1,-4
13,13,11,1.12,20,19,10.5,.5,2.5,2.5,49,49,32,-9.5,2
1,13,13,1,1.1666666,2.1666667,3.3333333,.16666667,0,1.3333334,49,25,49,2.1666665,1.1666667
1,13,13,1.12,0,10,9,0,0,0,49,25,49,9,0
4,13,13,1,0,0,0,.38095239,0,.19047619,49,60,49,0,-.19047619
4,13,13,1.12,11.827586,8.8064518,5.2647057,2,1.8529412,1.5294118,49,60,49,-6.5628805,-.47058821
7,13,13,1,0,0,0,1.7142857,1.2857143,.85714287,49,55,49,0,-.85714287
7,13,13,1.12,10.75,15.777778,10.444445,.55555558,.8888889,.77777779,49,55,49,-.30555534,.22222221
8,13,13,1,.66666669,0,0,1.3333334,1.6666666,1.6666666,49,75,49,-.66666669,.33333325
8,13,13,1.12,12.75,5.5714288,3.6666667,2.4444444,1,.8888889,49,75,49,-9.083333,-1.5555556
11,13,13,1,0,0,0,.2,0,0,49,32,49,0,-.2
11,13,13,1.12,8.5714283,9.7142859,6.4285712,1.8571428,1.8571428,.14285715,49,32,49,-2.1428571,-1.7142856
13,13,13,1,.56,1.3461539,1.25,.32142857,.10714286,.17857143,49,49,49,.69,-.14285713
13,13,13,1.12,5.7199998,4.3636365,2.1851852,2.6666667,2,.55555558,49,49,49,-3.5348146,-2.1111112
1,,1,1,0,,0,.80000001,,.60000002,,25,25,0,-.19999999
4,,1,1,0,0,0,.38461539,0,.23076923,,60,25,0,-.15384616
4,,1,1.12,12.428572,2,9.5,2.2,1.6666666,2,,60,25,-2.9285717,-.20000005
7,,1,1,0,,0,0,0,0,,55,25,0,0
8,,1,1,0,0,0,1.5,0,0,,75,25,0,-1.5
8,,1,1.12,20,,7.5,4.5,,2.5,,75,25,-12.5,-2
11,,1,1,1.0344827,1.2,0,.12903225,.11111111,.032258064,,32,25,-1.0344827,-.096774191
11,,1,1.12,7.0666666,0,6.1999998,1.6666666,1.6666666,1.6,,32,25,-.86666679,-.066666603
13,,1,1,10,,0,5,,5,,49,25,-10,0
1,,4,1,0,,0,0,,0,,25,60,0,0
1,,4,1.12,20,,20,2,,5,,25,60,0,3
4,,4,1,0,0,0,0,0,.33333334,,60,60,0,.33333334
4,,4,1.12,9,7.5,10.833333,1.3333334,1.5,2.1666667,,60,60,1.833333,.83333337
7,,4,1,0,,0,0,0,0,,55,60,0,0
7,,4,1.12,10,,14,2,0,2.8,,55,60,4,.79999995
8,,4,1.12,0,,5,4,0,2,,75,60,5,-2
11,,4,1,0,,0,0,1,0,,32,60,0,0
11,,4,1.12,14,,12.857142,1.2142857,.5,2.0714285,,32,60,-1.1428576,.85714281
1,,7,1.12,0,,10,0,1,1,,25,55,10,1
4,,7,1,0,0,0,.16666667,0,.83333331,,60,55,0,.66666663
4,,7,1.12,9,,16.666666,1,1,2.5,,60,55,7.666666,1.5
7,,7,1,2.5,,3.5,0,,1.5,,55,55,1,1.5
7,,7,1.12,16.666666,,29,.5,,1.5,,55,55,12.333334,1
11,,7,1,0,,0,0,,1,,32,55,0,1
11,,7,1.12,3.2727273,,10.666667,1,.75,2.5833333,,32,55,7.39394,1.5833333
4,,8,1.12,0,,7.5,2,,4,,60,75,7.5,2
7,,8,1.12,15,10,10.5,2.5,5,3.5,,55,75,-4.5,1
11,,8,1.12,20,,6,0,,0,,32,75,-14,0
1,,11,1,,,0,0,,0,,25,32,,0
4,,11,1,0,0,0,0,0,0,,60,32,0,0
4,,11,1.12,4,,0,1,,2,,60,32,-4,1
8,,11,1,0,,0,0,,0,,75,32,0,0
8,,11,1.12,10.5,,15.5,1.5,,2,,75,32,5,.5
11,,11,1,.45454547,,1.3461539,.11538462,0,.23076923,,32,32,.89160836,.11538462
