A5,hh_altersmok,smoking,log_inc,class,gender,A12,han
0,0,0,10.94289,13,2,3,1
0,1,0,10.328755,13,2,5,1
1,0,1,9.2301426,13,1,2,1
0,0,0,10.905956,7,2,5,1
1,0,0,11.104958,4,1,6,1
0,0,1,11.057835,13,1,3,1
1,1,0,10.937366,13,2,3,1
0,0,0,10.673595,13,2,2,1
0,5,10,10.803514,4,1,4,1
1,15,0,9.418438,1,2,4,1
3,,,9.418438,,1,,1
0,0,0,10.806761,4,1,5,1
1,0,0,9.4216814,1,2,3,1
3,,,9.4216814,,2,,1
0,7.5,0,11.234554,7,2,5,1
1,2.5,5,11.487624,7,1,5,1
3,,,10.460288,,1,1,1
0,15,0,11.978879,7,2,5,1
1,5,10,11.377716,4,1,4,1
3,,,10.806761,,1,,1
0,-2.3841858e-07,10,11.662666,4,1,5,1
1,10,0,10.906934,4,2,3,1
3,10,0,10.438616,,2,3,1
0,0,0,11.051208,7,2,5,1
1,0,0,11.314718,7,1,5,1
3,0,0,10.275741,,1,2,1
0,-2.3841858e-07,10,9.0992842,4,1,3,1
1,10,0,10.483901,4,2,4,1
3,10,0,9.0992842,,2,1,1
0,5,10,9.0851755,8,1,2,1
1,15,0,10.56884,13,2,5,1
3,,,9.0851755,,2,0,1
0,0,0,10.996864,7,1,4,1
1,0,0,10.684798,7,2,4,1
3,,,9.9372444,,1,,1
0,5,10,11.056167,4,1,3,1
1,15,0,11.056167,7,2,5,1
3,,,10.139876,,1,0,1
0,0,0,10.946003,13,2,3,1
3,0,0,11.353106,4,1,5,1
0,0,0,9.9685469,4,1,4,1
1,0,0,8.6559887,1,2,2,1
3,0,0,8.6559887,,1,1,1
0,0,0,10.879838,7,1,5,1
1,0,0,10.757371,4,2,5,1
3,,,9.908226,,1,,1
0,-2.3841858e-07,10,8.8246775,1,1,3,1
1,10,0,10.210972,4,2,5,1
3,10,0,8.8246775,12,2,5,1
0,0,10,12.565731,4,1,3,1
1,10,0,11.799276,4,2,5,1
0,0,0,11.715594,8,1,5,1
1,0,0,11.151477,7,2,5,1
3,0,0,10.557548,,2,3,1
0,1,2,11.667418,8,1,5,1
1,3,0,11.07762,4,2,5,1
3,,,10.510714,,1,1,1
1,26,0,10.341743,,2,2,1
0,0,26,10.668956,13,1,2,1
0,0,0,9.6378927,1,2,5,0
1,0,0,11.024106,9,1,5,0
3,,,9.6378927,,1,,0
0,1,0,10.96986,7,2,4,1
1,2.9802322e-08,1,11.656137,9,1,5,0
3,1,0,10.474396,7,2,5,0
0,0,0,11.196386,9,1,5,1
1,0,0,11.544585,7,2,5,1
3,,,10.469275,,1,,1
0,0,0,11.074769,4,1,5,1
1,0,0,10.813509,,2,3,1
0,20,0,10.376425,13,2,4,1
1,0,20,9.277812,1,1,4,1
0,5,10,10.491274,8,1,5,1
1,15,0,10.085809,1,2,5,1
3,,,9.392662,,1,,1
1,0,0,10.320112,4,2,5,1
0,0,0,10.939101,7,1,5,1
3,,,9.7605791,,1,0,1
0,1,0,10.90228,13,2,4,1
3,1,0,11.17885,8,2,5,1
5,2.9802322e-08,1,11.34687,9,1,5,1
0,0,0,10.943765,4,2,3,1
2,0,0,10.591622,13,2,1,1
1,,,9.9330463,,1,,1
0,0,0,10.860785,13,2,3,1
5,,,10.106143,,1,,1
0,0,15,10.632646,13,1,2,1
1,15,0,10.661173,13,2,2,1
3,15,0,10.447748,4,2,5,1
0,0,0,7.4970965,1,2,0,1
3,,,7.4970965,,2,,1
0,0,0,10.70661,13,2,2,1
0,3,0,11.646801,7,2,5,1
1,0,3,11.188925,13,1,5,1
0,1,0,10.841539,13,2,2,1
1,0,1,10.864752,13,1,2,1
0,0,0,10.73531,13,2,2,1
1,0,0,10.786222,13,1,3,1
0,15,0,11.465048,7,2,4,1
1,0,15,11.158034,4,1,4,1
0,0,0,11.004597,13,1,3,1
1,0,0,10.942881,13,2,2,1
0,0,1,10.854179,13,1,2,1
1,1,0,10.756839,13,2,2,1
0,0,0,11.080603,13,2,3,1
0,0,1,10.738568,13,1,2,1
1,1,0,10.712193,13,2,2,1
0,0,0,11.033276,13,1,3,1
1,0,0,10.973357,13,2,3,1
1,0,0,10.959911,7,2,5,1
0,0,0,10.99409,7,1,5,1
3,,,10.065663,,1,,1
0,0,0,12.01922,8,1,6,1
1,0,0,11.052688,7,2,5,1
3,,,10.73451,,1,,1
0,0,0,11.356837,7,2,5,1
1,0,0,11.860396,7,1,5,1
3,,,10.726529,,2,0,1
0,0,0,10.978102,7,2,5,1
1,0,0,10.858562,4,1,5,1
3,,,10.006823,,2,,1
0,0,0,10.424362,7,2,5,1
1,0,0,11.403892,7,1,5,1
3,,,10.113343,,2,,1
0,2.5,5,11.566693,4,1,5,1
1,7.5,0,11.020658,7,2,5,1
3,,,10.420015,,2,,1
0,0,0,10.846096,7,2,5,1
1,0,0,11.29394,7,1,5,1
3,0,0,10.178591,,1,2,1
0,0,0,10.778956,7,2,6,1
1,0,0,11.184422,4,1,6,1
3,,,10.085809,,2,,1
0,0,9,11.127288,7,2,5,1
1,9,0,11.429562,7,1,5,1
3,9,0,10.373543,,1,3,1
0,.5,1,10.911446,7,1,5,1
1,1.5,0,10.911446,7,2,5,1
3,,,9.9951544,,2,0,1
1,1,0,11.532238,4,2,3,1
0,0,1,11.520397,4,1,2,1
0,0,1,10.494352,13,2,5,1
3,1,0,9.4018698,1,2,6,1
0,0,0,10.992891,13,2,3,1
1,0,0,11.051683,13,1,3,1
0,40,0,11.040832,13,2,2,1
1,0,40,11.262789,4,1,2,1
0,0,20,7.8240461,1,1,1,1
1,20,0,7.8240461,1,2,0,1
0,0,1,11.403892,13,1,2,1
1,1,0,11.335114,13,2,2,1
0,0,0,10.782077,13,1,2,1
1,0,0,10.782077,13,2,5,1
0,0,0,10.950807,13,1,3,1
1,0,0,10.839581,13,2,3,1
0,0,0,11.268303,7,2,4,1
1,0,0,10.986986,8,1,2,1
1,0,0,11.10721,13,2,5,1
0,0,0,11.10721,13,1,2,1
0,0,0,11.037574,4,2,3,1
3,,,10.280782,,1,1,1
3,,,10.280782,,2,,1
0,0,0,11.485075,8,1,5,1
1,0,0,11.022774,7,2,5,1
3,,,10.381376,,1,0,1
0,0,0,10.549368,4,1,3,1
1,0,0,10.300696,7,2,3,1
3,0,0,9.5577059,,2,3,1
0,0,0,10.409348,4,2,3,1
1,0,0,10.786599,4,1,3,1
3,0,0,9.7152443,,1,4,1
0,0,0,10.764266,13,2,3,1
1,0,0,10.82576,13,1,3,1
5,,,9.918376,,1,1,1
1,0,0,10.280325,4,2,4,1
0,0,0,10.533518,4,1,3,1
3,0,0,9.5143881,,1,2,1
0,30,0,10.398793,4,2,2,1
1,0,30,10.88219,7,1,3,1
3,30,0,9.7538271,,2,2,1
0,1,0,10.780899,7,2,4,1
1,2.9802322e-08,1,10.302711,4,1,3,1
3,1,0,9.6736546,,2,3,1
1,7,0,9.8139277,4,2,2,1
0,-2.3841858e-07,7,9.9563961,4,1,2,0
3,7,0,8.972929,,1,1,0
0,0,0,9.0383654,1,1,3,1
1,0,0,10.386531,4,2,3,1
3,,,9.0383654,,1,0,1
0,0,0,10.778956,13,2,2,1
0,0,0,11.264464,4,1,4,1
1,0,0,11.407565,7,2,4,1
1,5,0,11.125054,13,2,3,1
0,0,5,11.142586,13,1,5,1
0,0,0,10.700994,13,1,5,1
1,0,0,10.940225,13,2,3,1
0,20,20,10.934891,13,1,5,1
1,40,0,10.700994,13,2,2,1
3,20,20,9.9084749,1,1,4,1
0,0,8,11.0922,13,1,3,1
1,8,0,10.998021,13,2,2,1
1,0,0,10.680516,13,2,3,1
0,0,0,10.448714,13,1,5,1
0,0,0,11.011133,13,1,5,1
1,0,0,11.011133,13,2,5,1
5,,,10.108241,,1,,1
0,0,0,10.714417,13,2,5,1
5,,,9.6158056,,1,0,1
0,0,0,11.350301,13,1,2,1
1,0,0,11.010778,13,2,2,1
0,6.5,13,11.26104,4,1,5,1
1,19.5,0,11.331803,7,2,5,1
3,,,10.380756,,2,,1
3,1.25,0,10.7377,7,1,5,1
7,1.25,0,9.9064827,1,2,4,1
0,.25,1,10.948347,13,1,4,1
1,1.25,0,10.943057,13,2,4,1
5,,,9.9064827,,1,,1
0,0,0,10.829729,13,2,2,1
3,0,0,10.545868,4,1,3,1
7,0,0,11.13342,4,2,5,1
5,0,0,10.017709,,1,1,1
0,0,0,10.896739,13,2,4,1
1,0,0,11.09741,13,1,5,1
0,0,1,11.589887,13,1,5,1
1,1,0,10.491274,1,2,1,1
0,10,20,9.251482,7,1,3,1
1,30,0,10.602119,4,2,4,1
3,,,9.251482,,2,1,1
0,0,0,11.127263,7,1,4,1
1,0,0,11.220247,8,2,6,1
0,0,0,11.700452,7,1,6,1
3,,,10.561687,,1,,1
6,0,0,11.220247,13,2,5,1
0,0,0,11.843289,7,1,5,1
