rank,name,rich-officer,Degree,BonPwr,Closeness,Eigenvector,Between,2StepBet,Degree,EffSize,Efficiency,Constraint,Hierarchy,Ego Betweenness,Ln(Constraint),Indirects,Density,Coreness,RSH
73,yangchun,0,0.028037382,0.124610759,0.086850651,-2.54E-08,0,0,3,1,0.333333343,0.92592591,0,0,-0.07696104,0.666666687,0.5,0.091192149,0.166666672
51,yanglin,0,0.009345794,0.263739049,0.149441347,0.002644758,0,0,1,1,1,1,1,0,0,0,,0,0
32,yangxiong,2,0.028037382,0.106075801,0.12753278,1.48E-05,0.025039675,0.000352671,3,2.333333254,0.777777791,0.611111104,0.052204546,2,-0.492476493,0.333333343,0.166666672,0.091192149,0.333333343
17,yangzhi,2,0.018691588,5.498048306,0.14172186,0.071844883,0.012696174,0.000176336,2,2,1,0.5,0,0,-0.693147182,0,0,0.091192149,0.5
36,yanqing,0,0.009345794,0.056327913,0.137179494,8.40E-05,0,0,1,1,1,1,1,0,0,0,,0,0
50,yanshun,0,0.009345794,1.458114505,0.164110422,0.017124249,0,0,1,1,1,1,1,0,0,0,,0,0
105,yubaosi,2,0.009345794,5.544087887,0.15329513,0.072543956,0,0,1,1,1,1,1,0,0,0,,0,0
77,yuehe,0,0.009345794,0.037028641,0.086639673,1.49E-09,0,0,1,1,1,1,1,0,0,0,,0.045596074,0
28,zhangheng,0,0.018691588,0.291019619,0.15070422,0.002643181,0.025039675,0.000176336,2,2,1,0.5,0,0,-0.693147182,0,0,0,1
16,zhangqing,2,0.056074765,0.623925686,0.158989593,0.004601192,0.038294256,0.002027861,6,5,0.833333313,0.362654328,0.046596512,3,-1.014305234,0.444444448,0.100000001,0.227980375,0.213333338
30,zhangshun,0,0.018691588,0.09124206,0.137179494,0.000380576,0.012696174,0.000176336,2,2,1,0.5,0,0,-0.693147182,0,0,0.091192149,0
74,zhengtianshou,0,0.009345794,1.458114505,0.164110422,0.017124267,0,0,1,1,1,1,1,0,0,0,,0,0
86,zhoutong,0,0.009345794,0.032737542,0.086569577,-5.40E-08,0,0,1,1,1,1,1,0,0,0,,0,0
92,zhufu,0,0.028037382,0.351107568,0.158518523,0.002826082,0.031828601,0.000529007,3,3,1,0.333333343,0,2,-1.098612309,0,0,0.091192149,0.600000024
91,zhugui,0,0.037383176,0.229914621,0.151558071,0.000981179,0.035178982,0.001058014,4,4,1,0.25,0,3,-1.386294365,0,0,0.136788219,0.375
12,zhutong,2,0.018691588,1.513846755,0.164615378,0.017472237,0.012696174,0.000176336,2,2,1,0.5,0,0,-0.693147182,0,0,0.091192149,0.5
37,zhuwu,0,0.028037382,0.124610782,0.086850651,-4.32E-08,0,0,3,1,0.333333343,0.92592591,0,0,-0.07696104,0.666666687,0.5,0,0.5
90,zourun,0,0.009345794,0.026402477,0.08405342,0,0,0,1,1,1,1,1,0,0,0,,0,0
89,zouyuan,0,0.009345794,0.026402472,0.08405342,0,0,0,1,1,1,1,1,0,0,0,,0.045596074,0
