class1991,class2000,class2011,male1,smoking2000,smoking2011,drink2000,drink2011,prest00,prest91,prest11
labor,labor,farmer,1.12,12,7.3000002,1.5,1.8,60,60,32
self emp,labor,farmer,1.12,,0,0,0,60,55,32
owner,labor,farmer,1.12,2.5,5.25,2.75,1.25,60,75,32
farmer,labor,farmer,1,0,0,.58333331,0,60,32,32
farmer,labor,farmer,1.12,12.833333,9.416667,2.0833333,2.2916667,60,32,32
student,labor,farmer,1.12,5,9.2222223,1.2222222,2.1111112,60,49,32
,labor,farmer,1,0,0,0,0,60,,32
,labor,farmer,1.12,7.875,15.388889,1.8823529,2.4444444,60,,32
labor,labor,student,1,0,0,0,0,60,60,49
labor,labor,student,1.12,0,0,1,1,60,60,49
unemp,labor,retired,1.12,25,10,5,2,60,25,49
labor,labor,retired,1,0,0,.60606062,.42424244,60,60,49
labor,labor,retired,1.12,7.6086955,5.9230771,2.1538463,1.9230769,60,60,49
self emp,labor,retired,1,0,0,.33333334,.83333331,60,55,49
owner,labor,retired,1,0,0,0,0,60,75,49
owner,labor,retired,1.12,11,5.1999998,2.2,2.5999999,60,75,49
farmer,labor,retired,1,0,0,0,0,60,32,49
farmer,labor,retired,1.12,16.666666,11.666667,3.3333333,3.3333333,60,32,49
student,labor,retired,1.12,0,0,0,0,60,49,49
,labor,retired,1,.25641027,.5,.40000001,.64999998,60,,49
,labor,retired,1.12,8.772727,8,2.4615386,2.1153846,60,,49
unemp,labor,,1,0,,.44444445,,60,25,
unemp,labor,,1.12,10.166667,,1.75,,60,25,
labor,labor,,1,.25316456,,.21951219,,60,60,
labor,labor,,1.12,8.7207203,,2.2153847,,60,60,
self emp,labor,,1,.1,,.60000002,,60,55,
self emp,labor,,1.12,8.1764708,,1.6842105,,60,55,
owner,labor,,1,0,,.2857143,,60,75,
owner,labor,,1.12,6.7777777,,2,,60,75,
soldier,labor,,1.12,2.75,,1.25,,60,62,
farmer,labor,,1,.41666666,0,.46153846,0,60,32,
farmer,labor,,1.12,8.71875,5,1.7446809,2,60,32,
student,labor,,1,0,,.125,,60,49,
