province,aids_incidence,aids_mort,aid_morb,aid_mortrate,hiv_incidence,hiv_mort,hiv_morb,hiv_mortrate,year,morb_ipolate,report,report_ipolate,org,sjw,news
hlj,110,38,.2875,.0993,327,15,.8547,.0392,2010,.8547,59,59,5,295,240
hlj,110,38,.2875,.0993,327,15,.8547,.0392,2011,.8547,,68,5,340,169.67999
hlj,259,64,.6755,.1669,660,51,1.7214,.133,2012,1.7214,,77,5,385,145.03999
hlj,376,76,.9807,.1982,747,58,1.9484,.1513,2013,1.9484,,86,5,430,120.96
hn,1315,196,1.3568,.2022,1998,,2.0615,,2004,2.0615,11,11,1,11,541
hn,2306,581,2.4713,.6227,1685,48,1.8058,.0514,2005,1.8058,38,38,1,38,433
hn,2142,497,2.2836,.5299,1429,47,1.5235,.0501,2006,1.5235,39,39,1,39,559
hn,2293,1701,2.4414,1.8111,1533,103,1.6322,.1097,2007,1.6322,25,25,1,25,418
hn,1784,1835,1.906,1.9605,1705,107,1.8216,.1143,2008,1.8216,32,32,1,32,255
hn,1851,1737,1.9631,1.8422,1493,96,1.5834,.1018,2009,1.5834,50,50,1,50,243
hn,1498,1462,1.579,1.5411,1670,115,1.7603,.1212,2010,1.7603,59,59,1,59,240
hn,1498,1462,1.579,1.5411,1670,115,1.7603,.1212,2011,1.7603,,68,1,68,169.67999
hn,3193,1609,3.4012,1.7139,1929,216,2.0548,.2301,2012,2.0548,,77,1,77,145.03999
hn,2852,1123,3.0321,1.1939,2319,258,2.4654,.2743,2013,2.4654,,86,1,86,120.96
hub,248,96,.4128,.1598,556,,.9254,,2004,.9254,11,11,3,33,541
hub,236,76,.4146,.1335,283,7,.4971,.0123,2005,.4971,38,38,3,114,433
hub,241,87,.4221,.1524,293,,.5131,,2006,.5131,39,39,3,117,559
hub,241,143,.4233,.2512,357,22,.6271,.0386,2007,.6271,25,25,3,75,418
hub,266,204,.4667,.358,503,34,.8826000000000001,.0597,2008,.8826000000000001,32,32,3,96,255
hub,292,204,.5113,.3572,568,56,.9946,.0981,2009,.9946,50,50,3,150,243
hub,355,203,.6206,.3549,799,66,1.3969,.1154,2010,1.3969,59,59,3,177,240
hub,355,203,.6206,.3549,799,66,1.3969,.1154,2011,1.3969,,68,3,204,169.67999
